"一级原始标签","一级ID","一级中文标签","一级英文标签","二级原始标签","二级ID","二级中文标签","二级英文标签"
"服装与配饰","apparel_accessories","服饰配件","Apparel & Accessories","鞋","apparel_accessories_footwear","鞋类","Footwear"
"工具与工业","tools_equipment","工具设备","Tools & Equipment","工具与工业设备","tools_equipment_industrial_tools","工具设备","Tools & Industrial Equipment"
"工具与工业","tools_equipment","工具设备","Tools & Equipment","五金零件","tools_equipment_hardware_parts","五金件","Hardware Parts"
"家居与家具","home_living","家居生活","Home Living","灯具","home_living_lighting","灯具","Lighting"
"家居与家具","home_living","家居生活","Home Living","家电","home_living_home_appliances","家用电器","Home Appliances"
"家居与家具","home_living","家居生活","Home Living","家纺与材料","home_living_home_textiles","家纺布料","Home Textiles"
"家居与家具","home_living","家居生活","Home Living","家具与家居用品","home_living_furniture_household_items","家具日用","Furniture & Household Items"
"家居与家具","home_living","家居生活","Home Living","卫浴设施","home_living_bathroom_fixtures","卫浴用品","Bathroom Fixtures"
"建筑与场所","places_buildings","地点与建筑","Places & Buildings","公共设施","places_buildings_street_fixtures","街道设施","Street Fixtures"
"建筑与场所","places_buildings","地点与建筑","Places & Buildings","建筑与场所","places_buildings_buildings_places","建筑地点","Buildings & Places"
"建筑与场所","places_buildings","地点与建筑","Places & Buildings","土木与户外结构","places_buildings_outdoor_structures","户外结构","Outdoor Structures"
"交通工具","transportation","交通出行","Transportation","船","transportation_boats_ships","船艇","Boats & Ships"
"交通工具","transportation","交通出行","Transportation","飞机","transportation_aircraft","飞机","Aircraft"
"交通工具","transportation","交通出行","Transportation","飞行与降落装备","transportation_flight_gear","飞行装备","Flight Gear"
"交通工具","transportation","交通出行","Transportation","工程与农用车辆","transportation_utility_farm_vehicles","工程农用车","Utility & Farm Vehicles"
"交通工具","transportation","交通出行","Transportation","轨道车辆","transportation_rail_vehicles","轨道交通","Rail Vehicles"
"交通工具","transportation","交通出行","Transportation","交通部件","transportation_vehicle_parts","车辆部件","Vehicle Parts"
"交通工具","transportation","交通出行","Transportation","汽车","transportation_cars","汽车","Cars"
"交通工具","transportation","交通出行","Transportation","人力与畜力车辆","transportation_human_animal_vehicles","人力畜力车","Human-Powered & Animal-Drawn Vehicles"
"交通工具","transportation","交通出行","Transportation","自行车","transportation_bicycles","自行车","Bicycles"
"乐器与音响","music_instruments","音乐与乐器","Music & Instruments","乐器","music_instruments_instruments","乐器","Instruments"
"乐器与音响","music_instruments","音乐与乐器","Music & Instruments","乐器配件","music_instruments_accessories","乐器配件","Instrument Accessories"
"美妆与个护","beauty_personal_care","美妆个护","Beauty & Personal Care","美妆与个护","beauty_personal_care_items","美妆个护用品","Beauty & Personal Care Items"
"人物","people","人像人物","People","人物","people_people","人物","People"
"容器与厨具","kitchen_containers","厨房与容器","Kitchen & Containers","厨房工具","kitchen_containers_kitchen_tools","厨房工具","Kitchen Tools"
"容器与厨具","kitchen_containers","厨房与容器","Kitchen & Containers","容器与厨具","kitchen_containers_general_containers","通用容器","General Containers"
"食品与饮品","food_drinks","食品饮料","Food & Drinks","食物","food_drinks_prepared_food","熟食餐食","Prepared Food"
"食品与饮品","food_drinks","食品饮料","Food & Drinks","蔬果食材","food_drinks_produce_ingredients","蔬果食材","Produce & Ingredients"
"食品与饮品","food_drinks","食品饮料","Food & Drinks","饮品","food_drinks_beverages","饮品","Beverages"
"体育与娱乐","sports_leisure","运动娱乐","Sports & Leisure","体育用品","sports_leisure_sports_gear","运动器材","Sports Gear"
"体育与娱乐","sports_leisure","运动娱乐","Sports & Leisure","玩具与娱乐","sports_leisure_toys_entertainment","玩具娱乐","Toys & Entertainment"
"武器与防护","weapons_protection","武器防护","Weapons & Protection","防护装备","weapons_protection_protective_gear","防护装备","Protective Gear"
"武器与防护","weapons_protection","武器防护","Weapons & Protection","武器","weapons_protection_weapons","武器","Weapons"
"医疗与护理","medical_care","医疗健康","Medical & Care","医疗与护理用品","medical_care_items","医疗护理用品","Medical Care Items"
"植物与真菌","plants_fungi","植物菌类","Plants & Fungi","真菌","plants_fungi_fungi","菌类","Fungi"
"植物与真菌","plants_fungi","植物菌类","Plants & Fungi","植物","plants_fungi_plants","植物","Plants"
"自然景观","nature_landscapes","自然风景","Nature & Landscapes","自然景观","nature_landscapes_scenery","自然风景","Natural Scenery"
